-- HOUSEHOLD --

Table			0x279	F
Chair			0x369	F
Chair			0x124	F
Chair			0x369	F
Easle			0x345
Juggernaut Hmmr 0x258
Longsword		0x257
Crossbow		0x256
Bow				0x255
Morning Star	0x254
Torch			0x253
Throwing Dagger	0x252
Froe			0x251
Spear			0x250
Maine Gauche	0x24F
Club			0x24E
Pitchfork		0x24D
Defender Sword	0x237
Poisoned Dagger	0x234
Blowpipe		0x233
Death Scythe	0x232
Great Dagger	0x231
Magic Scimitar	0x22F
Throwing Hammer 0x22D
Hawk			0x22B
Firedoom Staff	0x229
Magic Ax		0x228
Fire Sword		0x227
Magic Boomerang	0x226
Lightning Whip	0x225
Hoe o' Destruct 0x224
Magic Sword		0x223
Musket			0x116

-- NATURE --

Monolith		0x27A
Monolith		0x37E
Monolith		0x157
Monolith		0x156
Monolith		0x155
Monolith		0x0A3
Rocks			0x14B	F
Rocks			0x13C	F
Giant Skeleton	0x1A2

-- MOUNTAINS -- 

Mountain Wall	0x0C3	F
Mountain Top	0x0C4	F
Mountain Arch	0x0C5	F
Mountain Top	0x0B4	F
Mountain Top	0x0B6	F
Mountain Top	0x0B7	F
Mountain Top	0x144	F
Mountain Wall	0x18B	F
Mountain Wall	0x18C	F
Mountain Wall	0x2B6	F
Mountain Arch	0x3BF	F
Mountain Top	0x3C9	F
Mountain Top	0x3D7	F

-- MISCELLANEOUS --

Spiderweb		0x29B
Fence Post		0x1A4	F
Fence West		0x1A5	F
Fence West		0x17A	F
Fence South		0x1A6	F
Fence South		0x21A	F
Lamp Post		0x20E
Lamp Post		0x379
Trophies		0x199
Trophies		0x137
Fountain		0x37D
Wing Commander	0x10B	F
